Better case studies with name brands or revenue metrics,,,,,,,,,,,,,,,,,,,,
#,Client Name + Website,Sub Niche/Industry,Service,BEFORE (Metrics + Problems),AFTER (Results/Metrics),Other Notable Results,Timeframe,Unique Mechanism Statement,TIER,TIER RANKING AND WHY,How We Would Use It in Outreach,,,,,,,,,
76,GM Nameplate | gmnameplate.com,B2B / Manufacturing,SEO,Low keyword rankings,"1,215 keyword ranking improvements",Manufacturing brand; keyword metric,Unknown,B2B manufacturing SEO,D,D-tier: Keyword improvement count; niche manufacturing.,Background proof only,,,,,,,,,
77,Higher Education (anon),Higher Education,Content Marketing,Low YouTube traffic,132% jump in YouTube traffic,Anonymized university; YouTube metric,Unknown,YouTube content strategy for higher ed,D,D-tier: YouTube traffic % + anonymized.,Background proof only,,,,,,,,,
78,Pinnacle Roofing | (unknown),Roofing / Home Services,Content Marketing,Low keyword rankings,72% increase in keyword rankings,Local roofing brand; % keyword metric,Unknown,Content + SEO for roofing contractor,D,D-tier: % keyword; local contractor.,Background proof only,,,,,,,,,
79,QZZR | qzzr.com,B2B / SaaS / Quiz Tool,SEO + Content,Low page-1 keywords,130 keywords ranking on page 1,B2B quiz SaaS; page-1 keyword count,Unknown,SEO + content for interactive content SaaS platform,D,D-tier: Page-1 keyword count; small SaaS.,Background proof only,,,,,,,,,
80,Discover Healing | discoverhealing.com,Healthcare / Energy Healing,SEO + Content,Low page-1 keyword count,364 keywords in top 10,Alternative health brand; keyword count metric,Unknown,SEO + content for alternative health/healing brand,D,D-tier: Keyword count; niche alternative health.,Background proof only,,,,,,,,,
81,The Loam Wolf | loamwolf.com,Media / Mountain Biking,SEO / YouTube,Low YouTube subscribers,100K+ YouTube subscribers,Niche outdoor media; YouTube metric,Unknown,YouTube SEO + channel growth strategy for mountain biking media brand,D,D-tier: YouTube subscriber metric; very niche.,Background proof only,,,,,,,,,
82,Leadership Consultation (anon),B2B / Consulting,SEO + CRO,Low traffic,65% increase in traffic,Anonymized consulting brand; traffic % metric,Unknown,SEO + CRO for leadership training company,D,D-tier: % traffic; anonymized brand.,Background proof only,,,,,,,,,
83,Totem | (unknown brand),B2B / Tech,SEO,Low organic traffic,3000% increase in organic traffic,Unknown B2B tech brand; % traffic from small base,Unknown,SEO growth strategy for B2B tech brand,D,D-tier: % traffic from small base; unknown brand.,Background proof only,,,,,,,,,
84,Soft Gel Technologies | softgel.com,B2B / Supplement Manufacturing,Social Media,Low engagement,1500% increase in engagement,Supplement manufacturer; social engagement metric,Unknown,Social media growth for B2B supplement manufacturer,D,D-tier: % social engagement; niche B2B manufacturer.,Background proof only,,,,,,,,,
85,Best Vinyl Fence & Deck | bestvinylfence.com,Home Services / Contractor,SEO,Low organic traffic,58% increase in organic traffic,Local fence/deck contractor; small % traffic metric,Unknown,Local SEO for fence and deck contractor,D,D-tier: Small % traffic; local contractor.,Background proof only,,,,,,,,,
86,CDL (school/trucking) | (unknown),Transportation / Education,SEO + Content,Low organic traffic,384% increase in organic traffic,CDL training/trucking education niche; % traffic,Unknown,SEO + content for CDL/trucking training company,D,D-tier: % traffic; niche brand.,Background proof only,,,,,,,,,
87,Sew Sweet Minky (Full Program) | sewsweetminky.com,Ecommerce / Fabric / Crafts,SEO + Content + Social,Low first-page presence,7 keywords on first page,Small ecommerce brand; very small result,Unknown,Multi-channel program for small ecommerce brand,D,D-tier: 7 keywords on page 1 = very small result.,Background proof only,,,,,,,,,
88,Nutraceutical | nutraceutical.com,B2B / Supplement Manufacturing,SEO,Low keyword count,"3,297 keyword ranking positions",Supplement manufacturer; keyword metric,Unknown,SEO for supplement manufacturer,D,D-tier: Keyword position count; B2B manufacturer.,Background proof only,,,,,,,,,
89,Nomatic | nomatic.com,Ecommerce / Travel Gear / DTC,SEO + Video,Low video views,435K video views,DTC travel gear brand; video view metric,Unknown,Video SEO strategy for travel gear DTC brand,D,D-tier: Video view metric; Nomatic has some DTC recognition but metric is D.,Background proof only,,,,,,,,,
90,SwimJim (Original) | swimjim.com,Local / Swim School,SEO + Content,Low impressions,340K total impressions,Local swim school; impression metric,Unknown,SEO + content for local swim school,D,D-tier: Impression metric; local brand.,Background proof only,,,,,,,,,
91,Sew Sweet Minky (Reviews) | sewsweetminky.com,Ecommerce / Crafts,Reputation / Reviews,Low review count,94+ new Google reviews,Small ecommerce brand; review count,Unknown,Reputation/review generation for small ecommerce brand,D,D-tier: Review count metric; small brand.,Background proof only,,,,,,,,,
92,Medical Device Company (anon),Healthcare / Medical Devices,SEO,Low page views,212.5% increase in page views,Anonymized medical device company; % page view metric,Unknown,SEO for medical device company,D,D-tier: % page view metric; anonymized.,Background proof only,,,,,,,,,
93,Aqua Recs | aquarecs.com,Ecommerce / Recreational Equipment,SEO,Low discovery queries,112.3% increase in discovery queries,Small recreational equipment brand,Unknown,Local SEO for aquatic recreation brand,D,D-tier: Discovery query % increase; niche brand.,Background proof only,,,,,,,,,
94,Ipson Law | ipsonlaw.com,Legal / Personal Injury,SEO,Low keyword rankings,226.98% increase in keyword rankings,Local personal injury law firm; % keyword metric,Unknown,Local SEO for personal injury attorney,D,D-tier: % keyword increase; small local law firm.,Background proof only,,,,,,,,,
95,Dominator | (unknown ecommerce),Ecommerce,SEO + Content,Low organic traffic,187.93% increase in organic traffic,Unknown brand; traffic % metric,Unknown,SEO + content for ecommerce brand,D,D-tier: % traffic from unknown brand.,Background proof only,,,,,,,,,
96,Instant Tax Solutions | instanttaxsolutions.com,Financial Services / Tax,Social Media,Low Facebook presence,"384,000 Facebook impressions",Tax resolution brand; Facebook metric,Unknown,Facebook marketing for tax resolution company,D,D-tier: Facebook impression metric; niche brand.,Background proof only,,,,,,,,,
